                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.5272,                0.83394,                 0.8786,                0.91509,                0.83425,                0.89601,                0.41445,                 1.7583,                0.82237,                0.94108,              0.0007261,              0.0007261,              0.0007261
                     86,                 1.5332,                0.83154,                0.87819,                 0.9151,                0.82726,                0.89007,                0.43241,                 1.6803,                0.83776,                0.92388,              0.0007228,              0.0007228,              0.0007228
                     87,                 1.5495,                0.81821,                0.88445,                0.94471,                0.83241,                0.91397,                0.45348,                  1.648,                0.81037,                0.92416,              0.0007195,              0.0007195,              0.0007195
                     88,                 1.5506,                0.81148,                0.88113,                0.94345,                 0.8462,                0.88684,                0.46251,                 1.6129,                0.79983,                0.92176,              0.0007162,              0.0007162,              0.0007162
                     89,                  1.557,                0.83109,                0.87624,                0.91527,                0.83645,                0.89228,                0.45018,                 1.6372,                0.81743,                0.92537,              0.0007129,              0.0007129,              0.0007129
                     90,                 1.5178,                0.79958,                0.88038,                0.91514,                0.80529,                 0.8664,                0.40734,                 1.7636,                0.81282,                0.94263,              0.0007096,              0.0007096,              0.0007096
                     91,                 1.4768,                0.77869,                0.87276,                0.90747,                0.82671,                0.88105,                 0.4305,                 1.6896,                0.85045,                0.93049,              0.0007063,              0.0007063,              0.0007063
                     92,                 1.4955,                0.80269,                0.88197,                0.91002,                0.81913,                0.88009,                0.43334,                 1.7222,                0.81443,                  0.943,               0.000703,               0.000703,               0.000703
                     93,                 1.4887,                 0.7911,                0.86954,                 0.9165,                0.81892,                0.88855,                0.43832,                  1.688,                0.77763,                0.92814,              0.0006997,              0.0006997,              0.0006997
                     94,                 1.4804,                0.79819,                0.86658,                0.92104,                 0.8067,                 0.8654,                0.42434,                   1.75,                0.83295,                0.94034,              0.0006964,              0.0006964,              0.0006964
                     95,                 1.4697,                0.77445,                0.86308,                0.91301,                0.78861,                0.84457,                 0.3966,                  1.774,                0.86911,                0.93848,              0.0006931,              0.0006931,              0.0006931
                     96,                 1.4764,                0.77587,                0.87205,                0.92524,                 0.7723,                0.86233,                0.42304,                 1.7734,                0.84054,                0.94513,              0.0006898,              0.0006898,              0.0006898
                     97,                 1.5223,                0.79382,                0.87569,                0.89219,                0.81609,                0.87223,                0.42546,                 1.7383,                0.81142,                0.94643,              0.0006865,              0.0006865,              0.0006865
                     98,                 1.4712,                0.78963,                 0.8701,                0.95062,                0.80084,                0.88562,                0.42428,                  1.729,                 0.8068,                0.94578,              0.0006832,              0.0006832,              0.0006832
                     99,                 1.5124,                0.80274,                 0.8683,                0.91154,                0.84583,                0.89767,                0.41515,                  1.754,                0.79536,                0.94869,              0.0006799,              0.0006799,              0.0006799
                    100,                 1.4845,                0.78331,                0.87477,                0.90166,                0.83617,                0.89433,                0.44006,                 1.6682,                 0.7936,                 0.9334,              0.0006766,              0.0006766,              0.0006766
                    101,                 1.4895,                0.77491,                0.87008,                0.91816,                0.80252,                0.87724,                0.43862,                 1.7196,                0.86022,                0.93762,              0.0006733,              0.0006733,              0.0006733
                    102,                 1.4733,                0.78563,                0.86644,                0.91552,                0.84363,                0.89079,                0.45984,                 1.6531,                0.79279,                0.92402,                0.00067,                0.00067,                0.00067
                    103,                 1.4656,                0.75898,                0.87756,                0.92779,                0.84443,                0.88698,                0.43949,                 1.7139,                 0.8077,                0.93759,              0.0006667,              0.0006667,              0.0006667
                    104,                 1.4684,                0.78572,                0.87178,                0.94902,                0.82633,                0.89356,                0.42279,                  1.746,                0.80898,                0.93181,              0.0006634,              0.0006634,              0.0006634
                    105,                 1.4679,                0.79454,                0.87115,                0.92737,                0.83813,                0.89624,                0.42079,                 1.7169,                0.78121,                 0.9272,              0.0006601,              0.0006601,              0.0006601
                    106,                 1.4809,                0.78412,                0.86824,                0.91356,                0.83709,                0.90061,                0.44263,                  1.714,                0.77764,                0.93163,              0.0006568,              0.0006568,              0.0006568
                    107,                 1.4734,                0.75949,                0.86899,                 0.9352,                0.83945,                0.88992,                0.45713,                 1.6307,                0.79775,                0.92283,              0.0006535,              0.0006535,              0.0006535
                    108,                 1.4486,                0.75454,                0.87123,                0.94374,                0.80751,                0.88981,                0.46538,                 1.6426,                0.78942,                0.92485,              0.0006502,              0.0006502,              0.0006502
                    109,                 1.4565,                0.77585,                0.86809,                0.91613,                0.81024,                0.87446,                0.43024,                 1.6813,                0.79867,                0.92886,              0.0006469,              0.0006469,              0.0006469
                    110,                 1.4698,                0.77327,                0.87281,                0.93354,                0.83217,                  0.896,                 0.4519,                 1.6533,                0.76107,                0.92716,              0.0006436,              0.0006436,              0.0006436
                    111,                 1.4313,                0.74508,                0.86595,                  0.934,                0.82887,                0.89903,                0.45739,                 1.6772,                0.79276,                0.92892,              0.0006403,              0.0006403,              0.0006403
                    112,                 1.4842,                0.76887,                0.87187,                0.90023,                0.83683,                0.88111,                0.43146,                 1.6774,                0.79723,                0.93128,               0.000637,               0.000637,               0.000637
                    113,                 1.4629,                0.76882,                0.86616,                0.95863,                 0.8579,                0.90282,                0.46087,                 1.6113,                0.77316,                0.91697,              0.0006337,              0.0006337,              0.0006337
                    114,                 1.4185,                 0.7434,                0.86426,                0.91526,                0.86458,                0.91123,                0.46741,                 1.6701,                0.77735,                0.92655,              0.0006304,              0.0006304,              0.0006304
                    115,                 1.4587,                 0.7568,                0.86347,                0.95116,                 0.8283,                0.90643,                0.45002,                 1.6544,                0.77982,                0.92618,              0.0006271,              0.0006271,              0.0006271
                    116,                 1.4422,                0.75197,                 0.8637,                0.91557,                0.88267,                0.90329,                0.45693,                  1.697,                 0.7804,                0.92999,              0.0006238,              0.0006238,              0.0006238
                    117,                 1.4266,                0.75318,                0.85954,                0.88978,                0.83224,                0.87752,                0.42537,                 1.7742,                 0.8107,                0.94566,              0.0006205,              0.0006205,              0.0006205
                    118,                 1.4061,                0.73308,                0.86279,                0.91868,                 0.8743,                0.91061,                0.47792,                 1.6457,                0.74745,                0.92386,              0.0006172,              0.0006172,              0.0006172
                    119,                 1.4326,                 0.7439,                0.86309,                0.93593,                0.85385,                0.91153,                0.49485,                  1.625,                0.74492,                0.91753,              0.0006139,              0.0006139,              0.0006139
                    120,                  1.404,                0.72588,                0.85636,                0.92504,                0.86209,                0.90607,                0.47773,                 1.6638,                0.77244,                0.92443,              0.0006106,              0.0006106,              0.0006106
                    121,                 1.3802,                0.71895,                 0.8608,                 0.9197,                0.84995,                 0.9113,                0.47603,                 1.6446,                0.76463,                0.91984,              0.0006073,              0.0006073,              0.0006073
                    122,                 1.3932,                0.72391,                0.85856,                0.93992,                0.85706,                0.90458,                0.46229,                 1.6857,                0.75479,                0.94047,               0.000604,               0.000604,               0.000604
                    123,                 1.3967,                0.72002,                 0.8596,                0.92501,                 0.8442,                0.90553,                0.45388,                 1.7129,                0.76649,                0.93997,              0.0006007,              0.0006007,              0.0006007
                    124,                 1.4007,                0.71663,                0.86952,                0.91117,                0.81899,                0.89593,                0.43848,                 1.6887,                0.76493,                0.93358,              0.0005974,              0.0005974,              0.0005974
                    125,                 1.4121,                0.73175,                0.85917,                0.88997,                0.85496,                0.91504,                0.47535,                 1.6189,                0.71825,                0.92592,              0.0005941,              0.0005941,              0.0005941
                    126,                 1.3859,                0.71792,                0.86274,                0.95075,                0.83304,                0.90766,                 0.4801,                 1.5991,                0.72506,                0.91936,              0.0005908,              0.0005908,              0.0005908
                    127,                 1.3493,                0.70004,                0.85914,                0.93844,                0.86644,                0.90949,                0.47226,                 1.6214,                0.73773,                0.91678,              0.0005875,              0.0005875,              0.0005875
                    128,                 1.3812,                0.71174,                0.85909,                0.96395,                0.83457,                0.91633,                0.47259,                  1.666,                0.72919,                0.92486,              0.0005842,              0.0005842,              0.0005842
                    129,                 1.3637,                0.70024,                0.86049,                0.93504,                0.83293,                0.89849,                0.45322,                 1.6695,                0.73524,                0.93293,              0.0005809,              0.0005809,              0.0005809
                    130,                 1.3853,                0.71615,                 0.8616,                0.92799,                0.84574,                0.89306,                 0.4339,                 1.7525,                0.75868,                0.94552,              0.0005776,              0.0005776,              0.0005776
                    131,                 1.3868,                0.71096,                0.85483,                0.93019,                0.82982,                0.89011,                0.44426,                 1.6936,                0.75739,                0.93858,              0.0005743,              0.0005743,              0.0005743
                    132,                  1.385,                0.70922,                0.86087,                0.95104,                0.84944,                0.89605,                0.44486,                  1.675,                0.74227,                0.92503,               0.000571,               0.000571,               0.000571
                    133,                 1.3674,                0.71394,                0.85828,                0.95516,                 0.8572,                0.92399,                0.47593,                 1.6596,                0.72442,                0.92466,              0.0005677,              0.0005677,              0.0005677
                    134,                 1.3544,                0.69357,                0.85909,                0.93979,                0.85231,                0.92793,                 0.4819,                 1.6569,                0.72937,                0.93627,              0.0005644,              0.0005644,              0.0005644
                    135,                 1.3752,                0.70973,                0.86354,                0.92799,                0.85785,                0.91831,                0.48305,                 1.6527,                0.72697,                0.92484,              0.0005611,              0.0005611,              0.0005611
                    136,                 1.3405,                0.69976,                0.85007,                0.91004,                0.85852,                0.90503,                0.44427,                 1.7225,                0.75738,                0.93135,              0.0005578,              0.0005578,              0.0005578
                    137,                 1.4042,                0.71229,                0.86039,                0.91379,                0.85865,                0.92301,                0.45246,                 1.7291,                0.74925,                0.93213,              0.0005545,              0.0005545,              0.0005545
                    138,                 1.3191,                 0.6792,                0.84719,                 0.8952,                0.87651,                0.91571,                0.44718,                 1.7006,                0.72206,                0.92742,              0.0005512,              0.0005512,              0.0005512
                    139,                 1.3183,                0.67713,                0.85152,                0.89521,                0.85548,                 0.9069,                0.45653,                 1.6626,                0.71768,                0.93326,              0.0005479,              0.0005479,              0.0005479
                    140,                 1.3428,                0.68889,                0.85387,                0.94195,                0.81737,                0.89368,                0.44929,                 1.6708,                0.72709,                0.93129,              0.0005446,              0.0005446,              0.0005446
                    141,                 1.3084,                0.68175,                0.85369,                0.93392,                0.83929,                0.89641,                0.44741,                 1.7193,                 0.7375,                0.94667,              0.0005413,              0.0005413,              0.0005413
                    142,                 1.3378,                0.69692,                0.85028,                 0.9271,                0.86324,                0.90643,                0.44435,                 1.6956,                0.72202,                0.93815,               0.000538,               0.000538,               0.000538
                    143,                 1.3629,                0.69436,                0.85524,                0.90953,                0.84479,                0.87293,                0.42096,                 1.7559,                0.74752,                 0.9511,              0.0005347,              0.0005347,              0.0005347
                    144,                 1.3108,                0.66109,                0.85306,                0.94267,                0.83416,                0.89986,                0.42348,                 1.7545,                0.74684,                0.94575,              0.0005314,              0.0005314,              0.0005314
                    145,                  1.351,                0.68784,                 0.8523,                0.92739,                0.82776,                0.88838,                0.43253,                 1.7296,                0.75598,                0.93785,              0.0005281,              0.0005281,              0.0005281
                    146,                 1.3462,                0.68114,                0.85176,                0.94649,                0.81395,                0.88798,                0.43795,                 1.6915,                0.74847,                 0.9417,              0.0005248,              0.0005248,              0.0005248
                    147,                 1.3304,                0.68475,                0.85459,                0.92539,                0.86775,                0.91734,                0.45896,                 1.6719,                0.74314,                0.93573,              0.0005215,              0.0005215,              0.0005215
                    148,                 1.3209,                0.67526,                 0.8539,                0.92377,                0.88907,                0.92734,                0.45824,                 1.6413,                0.73989,                0.92593,              0.0005182,              0.0005182,              0.0005182
                    149,                 1.3214,                0.68072,                 0.8497,                0.91342,                0.86979,                0.92267,                0.46592,                 1.6439,                 0.7248,                0.92043,              0.0005149,              0.0005149,              0.0005149
                    150,                 1.3179,                0.67358,                0.84864,                 0.9171,                0.85377,                0.89696,                0.44128,                 1.7063,                0.74657,                0.92944,              0.0005116,              0.0005116,              0.0005116
                    151,                 1.3222,                0.66609,                0.84728,                0.90359,                0.86358,                0.90304,                0.43277,                  1.739,                0.76664,                 0.9385,              0.0005083,              0.0005083,              0.0005083
                    152,                 1.3468,                0.68424,                 0.8495,                0.94212,                0.85317,                0.92007,                0.44452,                 1.7161,                0.75123,                0.93526,               0.000505,               0.000505,               0.000505
                    153,                 1.3708,                0.68996,                0.85303,                0.91765,                   0.84,                0.90662,                0.44923,                 1.6518,                0.72907,                0.92597,              0.0005017,              0.0005017,              0.0005017
                    154,                 1.3203,                0.67543,                 0.8526,                0.96586,                0.84404,                0.92676,                 0.4749,                 1.6321,                0.69981,                 0.9238,              0.0004984,              0.0004984,              0.0004984
                    155,                 1.2836,                0.66357,                0.85165,                0.93396,                0.86204,                0.92493,                0.48174,                 1.6262,                0.71184,                0.92384,              0.0004951,              0.0004951,              0.0004951
                    156,                 1.2914,                 0.6625,                0.84897,                0.92595,                0.85689,                 0.9263,                0.47768,                 1.6241,                0.69706,                0.92424,              0.0004918,              0.0004918,              0.0004918
                    157,                 1.2983,                 0.6778,                0.85225,                0.91968,                0.86339,                0.90853,                 0.4556,                 1.6977,                0.71861,                0.93494,              0.0004885,              0.0004885,              0.0004885
                    158,                 1.3154,                0.67078,                0.84835,                  0.932,                0.84894,                 0.9196,                0.47549,                 1.6495,                 0.7269,                0.93322,              0.0004852,              0.0004852,              0.0004852
                    159,                 1.2869,                0.66503,                0.84901,                0.93195,                0.83231,                0.90558,                0.44924,                 1.7491,                0.76887,                0.94656,              0.0004819,              0.0004819,              0.0004819
                    160,                 1.3273,                 0.6875,                0.85083,                0.87577,                 0.8458,                0.87476,                0.40367,                  1.856,                0.79523,                0.96366,              0.0004786,              0.0004786,              0.0004786
                    161,                  1.283,                0.65842,                0.85069,                0.88817,                0.87315,                0.91106,                0.42205,                 1.7934,                0.75192,                0.95381,              0.0004753,              0.0004753,              0.0004753
                    162,                 1.2765,                0.65061,                0.84262,                0.91971,                 0.8522,                0.91654,                0.44791,                 1.7267,                0.74116,                0.94356,               0.000472,               0.000472,               0.000472
                    163,                 1.3035,                0.66306,                0.84837,                0.93428,                0.85556,                0.90725,                0.44171,                 1.7081,                0.74582,                0.93333,              0.0004687,              0.0004687,              0.0004687
                    164,                 1.2878,                0.65124,                0.83978,                0.92138,                0.86451,                0.90574,                0.44377,                 1.7092,                0.72829,                0.93673,              0.0004654,              0.0004654,              0.0004654
                    165,                 1.2687,                0.64693,                0.84753,                0.92111,                 0.8615,                0.91756,                0.45778,                 1.6446,                0.71372,                0.92637,              0.0004621,              0.0004621,              0.0004621
                    166,                 1.2799,                0.64742,                0.85183,                0.92659,                0.84641,                0.91039,                0.45433,                 1.7113,                0.73542,                0.94754,              0.0004588,              0.0004588,              0.0004588
                    167,                  1.287,                0.65471,                 0.8528,                0.86667,                0.87033,                0.90536,                0.44391,                 1.7245,                0.73478,                0.93887,              0.0004555,              0.0004555,              0.0004555
                    168,                 1.2468,                0.64406,                0.83952,                0.90008,                0.85631,                0.91082,                0.45573,                 1.6982,                 0.7341,                0.93385,              0.0004522,              0.0004522,              0.0004522
                    169,                 1.2318,                0.62973,                0.84004,                0.90609,                0.85871,                0.91466,                0.46379,                 1.6976,                0.72275,                0.93108,              0.0004489,              0.0004489,              0.0004489
